ID;NAME;BRAND ID;BRAND;GROUP ID;GROUP NAME;SUBGROUP ID;SUBGROUP NAME;SPECIAL;TRAFFICLIGHT VALUE;PYRAMID VALUE;CARBS;SUGAR;ENERGY;PROTEINS;SATURATED FAT;FAT;SALT;SODIUM;FIBER
1554;Chorizo curado picante;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;1;0.5;477;18.2;16.9;44.9;3.8;1.52;NaN
1627;Chorizo de pavo;20;El Pozo;6;Carnes;17;Embutidos;No;3;5;1.2;NaN;339.5;25;NaN;25.5;3.8;1.52;NaN
1585;Chorizo extra all natural;20;El Pozo;6;Carnes;17;Embutidos;No;3;5;0.5;NaN;344.5;21.5;NaN;28.5;3;1.2;NaN
1625;Chorizo extra nobleza;20;El Pozo;6;Carnes;17;Embutidos;No;3;5;1;NaN;285;20.5;NaN;22;3;1.2;NaN
1566;Chorizo ibérico extra;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;1;0.59;461.6;32.29;14.7;36.49;2.9;1.16;NaN
1605;Chorizo Ibérico legado ibérico;20;El Pozo;6;Carnes;17;Embutidos;No;3;5;0.5;NaN;479;22.5;NaN;43;3.5;1.4;NaN
1486;Chorizo mini;13;Campofrío;6;Carnes;17;Embutidos;No;3;5;3.2;2.5;523;27.7;18.8;44.4;4.8;1.92;NaN
1636;Chorizo n/u nobleza;20;El Pozo;6;Carnes;17;Embutidos;No;3;5;1;NaN;285;20.5;NaN;22;3;1.2;NaN
1622;Chorizo pamplona;20;El Pozo;6;Carnes;17;Embutidos;No;3;5;2.3;NaN;475;18.8;NaN;43.4;3.5;1.4;NaN
1409;Chorizo sarta;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;1.6;1.2;472.3;22.5;16.5;41.7;3.4;1.36;NaN
1620;Chorizo sarta de pavo;20;El Pozo;6;Carnes;17;Embutidos;No;3;5;4;NaN;348;20;NaN;28;4;1.6;NaN
1572;Chorizo sarta ibérico;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;1.3;0.5;449.3;29.8;14.7;36.1;3.8;1.52;NaN
1556;Chorizo sarta picante;28;Incarlopsa;6;Carnes;17;Embutidos;No;3;5;1;0.5;477;18.2;16.9;44.9;3.8;1.52;NaN
1541;Chuleta sajonia;28;Incarlopsa;6;Carnes;9;Charcutería;No;3;5;4;0.5;74;13.5;0.3;0.6;2.6;1.04;NaN
2616;Cigala;157;Marisco Rías Bajas;14;Pescados y mariscos;35;Pescado entero y/o troceado;No;1;4;NaN;NaN;96;20;NaN;1.4;NaN;NaN;NaN
3000;Ciruelas claudias (sin hueso);114;Biográ;8;Frutas;19;Desecada;No;2;4;54;35;234;2;0.08;0.3;0.003;0.001;7
3002;Ciruelas con hueso;144;Frit Ravich;8;Frutas;19;Desecada;No;2;4;45;30;207;2;0.2;0.6;0;0;7.9
1771;Ciruelas con hueso bio;93;El Granero Integral;8;Frutas;19;Desecada;No;2;2A;64;NaN;272;2;NaN;0.1;NaN;NaN;NaN
1772;Ciruelas sin hueso bio;93;El Granero Integral;8;Frutas;19;Desecada;No;2;2A;49.16;42.34;226;2.38;0.074;0.623;0.02;0.008;18.42
167;Coca al cacao;19;Dulcesol;7;Cereales;7;Bollería;No;3;5;50;32;451;5.6;4.8;25;0.91;0.364;1.8
162;Coca de azúcar;19;Dulcesol;7;Cereales;7;Bollería;No;3;5;48;29;434;5.5;3.1;24;0.85;0.34;2
3025;Cocktail de frutas primera en almíbar ligero;150;Helio's;8;Frutas;13;Derivados;No;3;5;14;13;60;0.5;0;0;0;0;1
2860;Cocktail pepinillos, aceitunas y cebollitas;150;Helio's;9;Verduras y hortalizas;13;Derivados;No;3;2A;4.7;0.8;58;1.5;0;3.9;3.2;1.28;1.4
2890;Col troceada;130;Gvtarra;9;Verduras y hortalizas;12;Conserva;No;2;2A;2.3;1.2;16;0.9;0;0;0.67;0.268;1.5
